"","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)"
""," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Both sexes"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Female"
"WHO region"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"
"Global","17.7","18.2","18.6","19.1","19.6","20.2","20.8","21.4","22.1","22.8","23.5","24.3","25.1","26","26.9","27.8","28.7","29.7","30.6","31.5","32.2","33","33.7","34.3","34.9","35.4","35.8","36.3","36.7","38.6","39.8","41.1","42.4","43.8","45.4","47.1","49","51.3","53.2","55.6","57.9","60.4","63","65.9","68.4","71.1","73.8","76.4","78.9","81.2","83.2","85.1","86.9","88.5","89.6","90.8","92","93.2","40.7","41.8","43.1","44.4","45.8","47.4","49.1","50.9","53.1","55","57.5","59.8","62.3","64.9","67.8","70.2","73","75.7","78.3","80.9","83.2","85.2","87.1","89","90.7","91.9","93.2","94.4","95.7","36.4","37.6","38.9","40.2","41.7","43.3","45","46.9","49.3","51.2","53.6","55.9","58.4","61","63.8","66.4","69","71.7","74.3","76.7","79.1","81","82.8","84.6","86.1","87.1","88.3","89.4","90.5"
"Africa","27.2","27.7","28.2","28.7","29.2","29.8","30.4","31","31.7","32.4","33.1","33.9","34.7","35.6","36.5","37.4","38.4","39.3","40.2","41","41.7","42.3","42.8","43.3","43.6","43.9","44.2","44.5","44.8","75.9","78.1","80.5","83","85.6","88.5","91.8","95.4","99.4","103.6","108.3","113.4","118.6","124","129.6","135.3","141","146.6","151.9","156.5","161","164.3","167","170.2","172.8","173.2","174.5","175.7","176.9","81.3","83.6","86","88.6","91.4","94.4","97.8","101.5","105.6","110","114.9","120.1","125.5","131.1","136.9","142.8","148.7","154.4","159.8","164.6","169.2","172.6","175.4","178.6","181.4","181.8","183.1","184.4","185.7","70.3","72.4","74.6","77.1","79.6","82.4","85.5","88.9","92.8","96.9","101.4","106.3","111.3","116.5","121.9","127.5","133","138.4","143.5","148","152.3","155.5","158.2","161.3","163.9","164.2","165.4","166.6","167.7"
"Americas","7.4","7.6","8","8.1","8.2","8.3","8.5","8.7","8.9","9.1","9.4","9.6","9.9","10.3","10.7","11.2","11.7","12.2","12.7","13.3","13.8","14.3","14.8","15.4","15.9","16.4","16.9","17.4","18","13.5","14","14.6","14.7","15","15.4","15.9","16.3","19.4","17.4","18","18.7","19.5","20.4","21.4","22.4","23.6","24.8","26.1","27.7","29.3","30.5","32.1","33.8","35.5","37.3","39.2","41","42.9","14.8","15.3","16","16.1","16.5","17","17.5","18","21.1","19.2","19.9","20.6","21.5","22.5","23.5","24.7","25.9","27.2","28.7","30.4","32.1","33.4","35.1","36.9","38.7","40.6","42.6","44.6","46.6","12.1","12.5","13.1","13.1","13.4","13.8","14.2","14.6","17.6","15.6","16.1","16.8","17.5","18.3","19.1","20.1","21.1","22.2","23.4","24.9","26.4","27.5","29","30.6","32.2","33.9","35.6","37.3","39.1"
"South-East Asia","20.2","21","22","23","24","25.1","26.2","27.4","28.5","29.7","30.8","31.9","33","34.1","35.3","36.5","37.9","39.2","40.6","41.9","43.2","44.6","45.8","47","48.1","49.2","50.4","51.6","52.8","33.6","35.4","37.4","39.6","41.9","44.4","47","49.7","52.5","55.4","58.9","61.3","64.3","67.3","71.3","73.6","76.9","80.3","83.8","87.4","90.9","94.5","98","101.4","104.8","108.1","111.5","114.9","118.5","33.8","35.6","37.5","39.5","41.7","44","46.4","48.9","51.5","54.3","57.6","59.9","62.9","65.7","69.7","71.6","74.9","78.3","81.8","85.4","88.7","92.2","95.8","99.4","102.9","106.4","109.9","113.5","117.2","33.3","35.2","37.3","39.7","42.2","44.8","47.6","50.5","53.5","56.5","60.1","62.6","65.7","68.9","72.9","75.6","78.9","82.3","85.8","89.3","93.2","96.8","100.1","103.5","106.7","109.8","113","116.3","119.8"
"Europe","4.6","4.7","4.9","5.2","5.4","5.7","5.9","6.2","6.4","6.7","6.9","7.2","7.6","8","8.4","8.9","9.3","9.8","10.3","10.8","11.3","11.8","12.2","12.6","13","13.3","13.5","13.7","14","8.6","9","9.4","9.9","10.3","10.8","11.2","11.7","12.2","12.7","13.4","14","14.8","15.7","16.7","17.7","18.8","20","21.3","22.6","23.8","25.1","26.2","27.3","28.2","28.9","29.5","30","30.7","9.5","10","10.4","10.9","11.4","11.9","12.4","12.9","13.5","14","14.7","15.5","16.3","17.3","18.3","19.5","20.7","22","23.3","24.7","26","27.4","28.6","29.7","30.7","31.5","32.1","32.7","33.4","7.7","8.1","8.4","8.8","9.2","9.6","10","10.4","10.9","11.4","11.9","12.5","13.2","14","14.9","15.9","16.9","18","19.2","20.3","21.5","22.7","23.8","24.7","25.6","26.3","26.7","27.2","27.8"
"Eastern Mediterranean","25.9","26.4","26.9","27.5","28.1","28.7","29.4","30.1","30.8","31.6","32.4","33.2","34","34.9","35.8","36.7","37.6","38.5","39.4","40.3","41.1","41.8","42.5","43","43.4","43.7","43.9","43.9","44","46.9","48.1","49.5","50.8","52.3","53.9","55.6","57.4","59.3","61.4","63.7","66","68.2","70.4","72.7","74.9","77.1","79.4","81.7","84","86.3","88.4","90.6","92.6","94.6","96.5","98.5","100.5","102.7","50","51.4","52.8","54.2","55.7","57.3","59","60.8","62.8","64.9","67.2","69.5","71.8","74","76.2","78.4","80.7","82.9","85.2","87.4","89.6","91.7","93.7","95.7","97.6","99.4","101.3","103.3","105.5","43.5","44.8","46.1","47.4","48.8","50.4","52","53.8","55.7","57.8","60","62.2","64.5","66.7","68.9","71.1","73.4","75.7","78.1","80.4","82.7","85","87.3","89.4","91.5","93.5","95.5","97.6","99.8"
"Western Pacific","5.8","6.1","6.5","6.8","7.2","7.6","8","8.5","9.1","9.7","10.5","11.3","12.2","13.3","14.4","15.5","16.7","17.9","19","19.9","20.7","21.6","22.4","23.3","24.2","25","25.7","26.2","26.6","11.8","12.4","13","13.7","14.4","15.1","16","16.9","17.9","18.9","20.1","21.4","22.9","24.6","26.5","28.5","30.7","32.9","35.1","37.1","39","40.8","42.5","44.3","46.1","47.8","49.3","50.6","51.6","12.8","13.4","14.1","14.8","15.5","16.4","17.3","18.2","19.3","20.4","21.7","23.1","24.7","26.5","28.5","30.6","32.9","35.2","37.4","39.5","41.5","43.3","45.1","46.9","48.7","50.5","52","53.3","54.3","10.8","11.3","11.9","12.5","13.1","13.8","14.6","15.5","16.3","17.3","18.4","19.7","21","22.6","24.4","26.3","28.4","30.5","32.6","34.6","36.4","38.1","39.8","41.5","43.3","44.9","46.5","47.7","48.7"
